text,label
Your account has been suspended. Click here to verify immediately.,phishing
Update your bank account information now to avoid closure.,phishing
Your PayPal account requires verification.,phishing
Urgent: confirm your password to keep your account active.,phishing
You won a free gift card. Claim now.,phishing
Verify your login credentials immediately.,phishing
Meeting has been rescheduled to tomorrow afternoon.,legitimate
Please review the attached project document.,legitimate
Lunch meeting at 1 PM today.,legitimate
The report has been uploaded to the shared drive.,legitimate
Let's catch up later this week.,legitimate
Your order has been successfully delivered.,legitimate